Length,Height,Whole weight,Shell weight,Age,Sex_F,Sex_I,Sex_M
0.455,0.095,0.514,0.15,2,0,0,1
0.35,0.09,0.2255,0.07,1,0,0,1
0.53,0.135,0.677,0.21,2,1,0,0
0.44,0.125,0.516,0.155,2,0,0,1
0.33,0.08,0.205,0.055,1,0,1,0
0.425,0.095,0.3515,0.12,2,0,1,0
0.53,0.15,0.9775,0.73,3,1,0,0
0.545,0.125,0.868,0.66,3,1,0,0
0.475,0.125,0.5095,0.165,2,0,0,1
0.55,0.15,0.8945,0.682,3,1,0,0
0.525,0.14,0.6065,0.21,2,1,0,0
0.43,0.11,0.406,0.135,2,0,0,1
0.49,0.135,0.5415,0.19,2,0,0,1
0.535,0.145,0.6845,0.205,2,1,0,0
0.47,0.1,0.4755,0.185,2,1,0,0
0.5,0.13,0.6645,0.24,2,0,0,1
0.355,0.085,0.2905,0.115,1,0,1,0
0.44,0.1,0.451,0.13,2,1,0,0
0.365,0.08,0.2555,0.1,1,0,0,1
0.45,0.1,0.381,0.115,2,0,0,1
0.355,0.095,0.2455,0.075,2,0,0,1
0.38,0.1,0.2255,0.085,2,0,1,0
0.565,0.155,0.9395,0.27,2,1,0,0
0.55,0.135,0.7635,0.2,2,1,0,0
0.615,0.165,1.1615,0.305,2,1,0,0
0.56,0.14,0.9285,0.3,2,1,0,0
0.58,0.185,0.9955,0.285,2,1,0,0
0.59,0.14,0.931,0.28,2,0,0,1
0.605,0.18,0.9365,0.295,2,0,0,1
0.575,0.14,0.8635,0.2,2,0,0,1
0.58,0.165,0.9975,0.33,2,0,0,1
0.68,0.165,1.639,0.46,2,1,0,0
0.665,0.165,1.338,0.72,3,1,0,0
0.68,0.175,1.798,0.71,3,1,0,0
0.705,0.2,1.7095,0.49,2,1,0,0
0.465,0.105,0.4795,0.125,2,0,0,1
0.54,0.155,1.217,0.74,3,1,0,0
0.45,0.105,0.5225,0.145,2,1,0,0
0.575,0.135,0.883,0.26,2,1,0,0
0.355,0.09,0.3275,0.09,2,0,0,1
0.45,0.105,0.425,0.115,2,1,0,0
0.55,0.135,0.8515,0.27,2,1,0,0
